"report_date","data_date","Country","confirmed_cases_total","cases_total_china_exposure","cases_total_outside_china_exposure_international","cases_total_local_exposure","cases_total_unknown_exposure","country_of_exposure","second_country_of_exposure","transmission_classification","source","accessed_by","accessed_date","notes","notes2","source2","accessed_by2","accessed_date2","notes3"
2020-01-23,2020-01-23,"Japan",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200123-sitrep-3-2019-ncov.pdf?sfvrsn=d6d23643_8","TCO",2020-02-28,"all have travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-23,2020-01-23,"Republic of Korea",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200123-sitrep-3-2019-ncov.pdf?sfvrsn=d6d23643_8","TCO",2020-02-28,"all have travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-23,2020-01-23,"Thailand",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200123-sitrep-3-2019-ncov.pdf?sfvrsn=d6d23643_8","TCO",2020-02-28,"all have travel history to Wuhan",NA,"https://www.bangkokpost.com/thailand/general/1841199/first-thai-infected-with-coronavirus","CAS",2020-03-05,NA
2020-01-23,2020-01-23,"United States of America",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200123-sitrep-3-2019-ncov.pdf?sfvrsn=d6d23643_8","TCO",2020-02-28,"all have travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-24,2020-01-24,"Japan",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200124-sitrep-4-2019-ncov.pdf?sfvrsn=9272d086_8","TCO",2020-02-28,"had travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-24,2020-01-24,"Republic of Korea",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200124-sitrep-4-2019-ncov.pdf?sfvrsn=9272d086_8","TCO",2020-02-28,"had travel history to Wuhan",NA,"https://edition.cnn.com/asia/live-news/coronavirus-outbreak-hnk-intl-01-24-20/h_7df038a58420da0cb7769f22803cbcc8","CAS",2020-03-05,NA
2020-01-24,2020-01-24,"Viet Nam",2,1,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200124-sitrep-4-2019-ncov.pdf?sfvrsn=9272d086_8","TCO",2020-02-28,"One confirmed case in Vietnam had no travel history to any part ofChina but wasa family member of  a  confirmed  case  who  visited  Wuhan.  This  suggests  an  instance  of  human  to  human transmission that occurred in Vietnam.",NA,NA,NA,NA,NA
2020-01-24,2020-01-24,"Singapore",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200124-sitrep-4-2019-ncov.pdf?sfvrsn=9272d086_8","TCO",2020-02-28,"had travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-24,2020-01-24,"Thailand",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200124-sitrep-4-2019-ncov.pdf?sfvrsn=9272d086_8","TCO",2020-02-28,"had travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-24,2020-01-24,"United States of America",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200124-sitrep-4-2019-ncov.pdf?sfvrsn=9272d086_8","TCO",2020-02-28,"had travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-25,2020-01-25,"Japan",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200125-sitrep-5-2019-ncov.pdf?sfvrsn=429b143d_8","TCO",2020-02-28,"had travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-25,2020-01-25,"Republic of Korea",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200125-sitrep-5-2019-ncov.pdf?sfvrsn=429b143d_8","TCO",2020-02-28,"had travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-25,2020-01-25,"Viet Nam",2,1,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200125-sitrep-5-2019-ncov.pdf?sfvrsn=429b143d_8","TCO",2020-02-28,"One confirmed case in Vietnam had no travel history to any part ofChina but wasa family member of  a  confirmed  case  who  visited  Wuhan.  This  suggests  an  instance  of  human  to  human transmission that occurred in Vietnam.",NA,NA,NA,NA,NA
2020-01-25,2020-01-25,"Singapore",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200125-sitrep-5-2019-ncov.pdf?sfvrsn=429b143d_8","TCO",2020-02-28,"had travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-25,2020-01-25,"Australia",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200125-sitrep-5-2019-ncov.pdf?sfvrsn=429b143d_8","TCO",2020-02-28,"one had travel history to China, but not Wuhan",NA,NA,NA,NA,NA
2020-01-25,2020-01-25,"Thailand",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200125-sitrep-5-2019-ncov.pdf?sfvrsn=429b143d_8","TCO",2020-02-28,"had travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-25,2020-01-25,"Nepal",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200125-sitrep-5-2019-ncov.pdf?sfvrsn=429b143d_8","TCO",2020-02-28,"had travel history to Wuhan",NA,"https://www.aljazeera.com/news/2020/01/china-battles-coronavirus-outbreak-latest-updates-200124063503577.html","CAS",2020-03-04,NA
2020-01-25,2020-01-25,"United States of America",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200125-sitrep-5-2019-ncov.pdf?sfvrsn=429b143d_8","TCO",2020-02-28,"had travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-25,2020-01-25,"France",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200125-sitrep-5-2019-ncov.pdf?sfvrsn=429b143d_8","TCO",2020-02-28,"had travel history to Wuhan",NA,"https://news.sky.com/story/coronavirus-outbreak-hospital-to-be-built-in-five-days-as-death-toll-rises-in-china-11916211","CAS",2020-03-03,NA
2020-01-26,2020-01-26,"Japan",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200126-sitrep-6-2019--ncov.pdf?sfvrsn=beaeee0c_4","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-26,2020-01-26,"Republic of Korea",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200126-sitrep-6-2019--ncov.pdf?sfvrsn=beaeee0c_4","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-26,2020-01-26,"Viet Nam",2,1,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200126-sitrep-6-2019--ncov.pdf?sfvrsn=beaeee0c_4","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-26,2020-01-26,"Singapore",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200126-sitrep-6-2019--ncov.pdf?sfvrsn=beaeee0c_4","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-26,2020-01-26,"Australia",4,3,0,0,1,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200126-sitrep-6-2019--ncov.pdf?sfvrsn=beaeee0c_4","TCO",2020-02-28,"one case in Australia reported today; travel history is not yet known",NA,NA,NA,NA,NA
2020-01-26,2020-01-26,"Malaysia",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200126-sitrep-6-2019--ncov.pdf?sfvrsn=beaeee0c_4","TCO",2020-02-28,NA,NA,"https://www.channelnewsasia.com/news/asia/wuhan-virus-malaysia-confirms-first-3-cases-all-patients-related-12331172","CAS",2020-03-04,NA
2020-01-26,2020-01-26,"Thailand",5,5,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200126-sitrep-6-2019--ncov.pdf?sfvrsn=beaeee0c_4","TCO",2020-02-28,NA,NA,"https://www.khaosod.co.th/breaking-news/news_3453845","CAS",2020-03-05,NA
2020-01-26,2020-01-26,"Nepal",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200126-sitrep-6-2019--ncov.pdf?sfvrsn=beaeee0c_4","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-26,2020-01-26,"United States of America",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200126-sitrep-6-2019--ncov.pdf?sfvrsn=beaeee0c_4","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-26,2020-01-26,"France",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200126-sitrep-6-2019--ncov.pdf?sfvrsn=beaeee0c_4","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-27,2020-01-27,"Japan",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-27,2020-01-27,"Republic of Korea",4,3,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,"http://www.koreaherald.com/view.php?ud=20200130000905","CAS",2020-03-05,NA
2020-01-27,2020-01-27,"Viet Nam",2,1,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-27,2020-01-27,"Singapore",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-27,2020-01-27,"Australia",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-27,2020-01-27,"Malaysia",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,"https://www.straitstimes.com/asia/se-asia/malaysia-confirms-first-cases-of-wuhan-coronavirus-infection","CAS",2020-03-04,NA
2020-01-27,2020-01-27,"Thailand",5,5,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-27,2020-01-27,"Nepal",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-27,2020-01-27,"United States of America",5,5,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-27,2020-01-27,"Canada",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-27,2020-01-27,"France",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200127-sitrep-7-2019--ncov.pdf?sfvrsn=98ef79f5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Japan",6,6,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Republic of Korea",4,3,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Viet Nam",2,1,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Singapore",7,7,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Australia",5,5,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Malaysia",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Cambodia",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,"The family arrived in Cambodia on January 23 and the 60-year-old Chinese national Cha Jin Hour started show flu-like symptoms on January 25, while staying at a hotel in Sihanoukville, said the health minister. Travel history to Wuhan","https://www.voacambodia.com/a/Cambodia-confirms-one-case-of-coronavirus-in-coastal-town-of-sihanoukville/5261787.html","TCO",2020-03-03,NA
2020-01-28,2020-01-28,"Thailand",14,14,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Nepal",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Sri Lanka",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,"https://www.japantimes.co.jp/news/2020/01/28/asia-pacific/science-health-asia-pacific/chinese-woman-sri-lankas-first-confirmed-case-coronavirus-health-official/","CAS",2020-03-05,NA
2020-01-28,2020-01-28,"United States of America",5,5,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Canada",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,"https://news.ontario.ca/mohltc/en/2020/1/ontario-confirms-second-presumptive-case-of-wuhan-novel-coronavirus.html","TCO",2020-03-03,"travel history to Wuhan"
2020-01-28,2020-01-28,"France",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-28,2020-01-28,"Germany",1,0,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200128-sitrep-8-ncov-cleared.pdf?sfvrsn=8b671ce5_2","TCO",2020-02-28,NA,"a Bavarian man contracted the virus from a colleague visiting from China. It is believed to be the first case of human-to-human transmission in Europe.","https://www.dw.com/en/germany-confirms-human-transmission-of-coronavirus/a-52169007","CAS",2020-03-04,NA
2020-01-29,2020-01-29,"Japan",7,6,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,"https://english.kyodonews.net/news/2020/01/e8f47252a245-urgent-japan-sees-1st-coronavirus-case-not-linked-to-recent-travel-to-china.html","CAS",2020-03-04,NA
2020-01-29,2020-01-29,"Republic of Korea",4,3,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-29,2020-01-29,"Viet Nam",2,1,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-29,2020-01-29,"Singapore",7,7,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-29,2020-01-29,"Australia",7,7,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-29,2020-01-29,"Malaysia",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-29,2020-01-29,"Cambodia",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-29,2020-01-29,"Thailand",14,14,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-29,2020-01-29,"Nepal",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-29,2020-01-29,"Sri Lanka",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-29,2020-01-29,"United States of America",5,5,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-29,2020-01-29,"Canada",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,"the man often works in China and voluntarily isolated himself upon returning to Canada","https://vancouverisland.ctvnews.ca/novel-coronavirus-latest-timeline-of-covid-19-cases-in-canada-1.4831993","CAS",2020-03-03,NA
2020-01-29,2020-01-29,"France",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,"Hubei","https://www.france24.com/fr/20200128-nouveau-coronavirus-quatri%C3%A8me-cas-en-france-le-patient-en-r%C3%A9animation","CAS",2020-03-03,NA
2020-01-29,2020-01-29,"Germany",4,0,0,4,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,NA,NA,"https://www.sueddeutsche.de/gesundheit/coronavirus-infizierte-deutschland-webasto-1.4776016","CAS",2020-03-04,NA
2020-01-29,2020-01-29,"United Arab Emirates",4,4,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200129-sitrep-9-ncov-v2.pdf?sfvrsn=e2c8915_2","TCO",2020-02-28,"Four confirmed cases reported in United Arab Emirates, in individuals travelingfrom WuhanCity",NA,"https://www.thenational.ae/uae/health/coronavirus-uae-records-first-case-1.971253","CAS",2020-03-05,NA
2020-01-30,2020-01-30,"Japan",11,9,0,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200130-sitrep-10-ncov.pdf?sfvrsn=d0b2e480_2","TCO",2020-02-28,NA,NA,"https://web.archive.org/web/20200130235311/https://www3.nhk.or.jp/news/html/20200130/k10012264981000.html, https://web.archive.org/web/20200129123513/https://www3.nhk.or.jp/news/html/20200129/k10012264621000.html","CAS",2020-03-04,NA
2020-01-30,2020-01-30,"Republic of Korea",4,3,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200130-sitrep-10-ncov.pdf?sfvrsn=d0b2e480_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-30,2020-01-30,"Viet Nam",2,1,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200130-sitrep-10-ncov.pdf?sfvrsn=d0b2e480_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
2020-01-30,2020-01-30,"Singapore",10,10,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200130-sitrep-10-ncov.pdf?sfvrsn=d0b2e480_2","TCO",2020-02-28,NA,NA,NA,NA,NA,NA
