"county","report_date","ALL PCR tests performed","Running total of all PCR tests","All PCR positive tests","Running total of all PCR tests","7 day percent positive","14 day percent positive"
"Chatham","2020-10-16","727","106331","53","10155","6.2","5.9"
"Chatham","2020-10-17","853","107184","37","10192","6","5.7"
"Chatham","2020-10-18","420","107604","20","10212","5.6","5.8"
"Chatham","2020-10-19","678","108282","41","10253","5.5","5.9"
"Chatham","2020-10-20","399","108681","40","10293","6.1","6.2"
"Chatham","2020-10-21","136","108817","16","10309","7.2","6.6"
"Chatham","2020-10-22","838","109655","42","10351","7","6.6"
"Chatham","2020-10-23","695","110350","50","10401","7","6.6"
"Chatham","2020-10-24","530","110880","29","10430","7.2","6.6"
"Chatham","2020-10-25","448","111328","32","10462","7.5","6.5"
"Chatham","2020-10-26","552","111880","37","10499","7.6","6.6"
"Chatham","2020-10-27","435","112315","25","10524","7","6.5"
"Chatham","2020-10-28","156","112471","16","10540","6.8","7"
"Chatham","2020-10-29","618","113089","37","10577","6.9","7"
"Chatham","2020-10-30","510","113599","32","10609","6.8","6.9"
"Chatham","2020-10-31","503","114102","42","10651","7.2","7.2"
"Chatham","2020-11-01","680","114782","43","10694","7.1","7.3"
"Chatham","2020-11-02","285","115067","14","10708","6.8","7.2"
"Chatham","2020-11-03","526","115593","34","10742","6.9","7"
"Chatham","2020-11-04","293","115886","26","10768","6.7","6.8"
"Chatham","2020-11-05","785","116671","31","10799","6.4","6.7"
"Chatham","2020-11-06","417","117088","40","10839","6.9","6.9"
"Chatham","2020-11-07","389","117477","25","10864","6.6","6.9"
"Chatham","2020-11-08","487","117964","15","10879","6.2","6.6"
"Chatham","2020-11-09","462","118426","33","10912","6.5","6.7"
"Chatham","2020-11-10","349","118775","23","10935","6.5","6.7"
"Chatham","2020-11-11","175","118950","25","10960","7.3","7"
"Chatham","2020-11-12","622","119572","52","11012","7.9","7.2"
"Chatham","2020-11-13","687","120259","61","11073","7.8","7.4"
"Chatham","2020-11-14","662","120921","53","11126","8","7.3"
"Chatham","2020-11-15","296","121217","30","11156","9.1","7.6"
"Chatham","2020-11-16","296","121513","15","11171","8.8","7.6"
"Chatham","2020-11-17","972","122485","69","11240","8.8","7.7"
"Chatham","2020-11-18","402","122887","45","11285","8.4","7.8"
"Chatham","2020-11-19","332","123219","36","11321","8.7","8.3"
"Chatham","2020-11-20","1071","124290","73","11394","8.5","8.1"
"Chatham","2020-11-21","1149","125439","73","11467","8.2","8.1"
"Chatham","2020-11-22","251","125690","20","11487","7.9","8.5"
"Chatham","2020-11-23","675","126365","51","11538","8.3","8.5"
"Chatham","2020-11-24","795","127160","43","11581","8","8.4"
"Chatham","2020-11-25","449","127609","29","11610","7.3","7.9"
"Chatham","2020-11-26","531","128140","42","11652","6.9","7.8"
"Chatham","2020-11-27","1151","129291","69","11721","6.8","7.6"
"Chatham","2020-11-28","747","130038","55","11776","7","7.6"
"Chatham","2020-11-29","536","130574","56","11832","7.3","7.6"
"Chatham","2020-11-30","264","130838","18","11850","7.2","7.7"
"Chatham","2020-12-01","273","131111","34","11884","8.2","8.1"
"Chatham","2020-12-02","307","131418","34","11918","8.9","8.1"
"Chatham","2020-12-03","931","132349","87","12005","9.1","8"
"Chatham","2020-12-04","848","133197","78","12083","9.5","8.2"
"Chatham","2020-12-05","286","133483","27","12110","9.8","8.4"
"Chatham","2020-12-06","93","133576","2","12112","8.6","8"
"Chatham","2020-12-07","1342","134918","125","12237","9","8.1"
"Chatham","2020-12-08","693","135611","82","12319","8.9","8.6"
"Chatham","2020-12-09","290","135901","33","12352","9","8.9"
"Chatham","2020-12-10","1154","137055","103","12455","8.9","9"
"Chatham","2020-12-11","672","137727","71","12526","9.1","9.3"
"Chatham","2020-12-12","884","138611","85","12611","9.1","9.5"
"Chatham","2020-12-13","781","139392","96","12707","10.6","9.6"
"Chatham","2020-12-14","575","139967","44","12751","10.3","9.7"
"Chatham","2020-12-15","272","140239","57","12808","11.6","10.3"
"Chatham","2020-12-16","363","140602","59","12867","12.3","10.6"
"Chatham","2020-12-17","766","141368","79","12946","12.5","10.7"
"Chatham","2020-12-18","801","142169","119","13065","13.1","11.1"
"Chatham","2020-12-19","627","142796","56","13121","13","11.1"
"Chatham","2020-12-20","776","143572","86","13207","12.9","11.7"
"Chatham","2020-12-21","549","144121","53","13260","13.1","11.7"
"Chatham","2020-12-22","751","144872","84","13344","11.8","11.7"
"Chatham","2020-12-23","734","145606","84","13428","11.1","11.7"
"Chatham","2020-12-24","921","146527","122","13550","11.5","12"
"Chatham","2020-12-25","953","147480","66","13616","10.4","11.7"
"Chatham","2020-12-26","1004","148484","103","13719","10.5","11.8"
"Chatham","2020-12-27","460","148944","34","13753","10","11.4"
"Chatham","2020-12-28","386","149330","30","13783","9.7","11.4"
"Chatham","2020-12-29","286","149616","56","13839","10.9","11.3"
"Chatham","2020-12-30","307","149923","63","13902","12.2","11.7"
"Chatham","2020-12-31","1097","151020","169","14071","12.6","12"
"Chatham","2021-01-01","679","151699","78","14149","13.2","11.8"
"Chatham","2021-01-02","469","152168","45","14194","13.1","11.8"
"Chatham","2021-01-03","1648","153816","219","14413","14","12"
"Chatham","2021-01-04","232","154048","29","14442","14.6","12.2"
"Chatham","2021-01-05","397","154445","50","14492","13.6","12.3"
"Chatham","2021-01-06","479","154924","62","14554","12.5","12.4"
"Chatham","2021-01-07","565","155489","123","14677","13.5","13"
"Chatham","2021-01-08","112","155601","11","14688","13.2","13.2"
"Chatham","2021-01-09","870","156471","114","14802","13.7","13.4"
"Chatham","2021-01-10","1112","157583","128","14930","13.5","13.7"
"Chatham","2021-01-11","979","158562","131","15061","13.6","14.1"
"Chatham","2021-01-12","295","158857","67","15128","15","14.3"
"Chatham","2021-01-13","328","159185","46","15174","15.2","13.9"
"Chatham","2021-01-14","1143","160328","127","15301","13.7","13.6"
"Chatham","2021-01-15","1023","161351","131","15432","14.1","13.7"
"Chatham","2021-01-16","679","162030","86","15518","14","13.9"
"Chatham","2021-01-17","1263","163293","142","15660","14","13.7"
"Chatham","2021-01-18","594","163887","68","15728","13.7","13.7"
"Chatham","2021-01-19","653","164540","105","15833","12.8","13.9"
"Chatham","2021-01-20","691","165231","97","15930","12.8","14"
"Chatham","2021-01-21","1092","166323","157","16087","13.2","13.5"
"Chatham","2021-01-22","1012","167335","139","16226","13.4","13.7"
"Chatham","2021-01-23","1040","168375","172","16398","13.9","14"
"Chatham","2021-01-24","872","169247","105","16503","14","14"
"Chatham","2021-01-25","330","169577","52","16555","14.7","14.2"
"Chatham","2021-01-26","494","170071","75","16630","14.5","13.6"
"Chatham","2021-01-27","851","170922","160","16790","15.2","14"
"Chatham","2021-01-28","1055","171977","129","16919","14.9","14.1"
"Chatham","2021-01-29","762","172739","101","17020","14.8","14.1"
"Chatham","2021-01-30","1094","173833","170","17190","14.7","14.3"
"Chatham","2021-01-31","890","174723","109","17299","14.7","14.4"
"Chatham","2021-02-01","250","174973","30","17329","14.2","14.4"
"Chatham","2021-02-02","435","175408","76","17405","14.5","14.5"
"Chatham","2021-02-03","873","176281","110","17515","13.6","14.4"
"Chatham","2021-02-04","848","177129","115","17630","13.8","14.4"
"Chatham","2021-02-05","947","178076","120","17750","13.7","14.3"
"Chatham","2021-02-06","776","178852","97","17847","13.3","14"
"Chatham","2021-02-07","861","179713","104","17951","13.3","14"
"Chatham","2021-02-08","261","179974","28","17979","13.1","13.6"
"Chatham","2021-02-09","502","180476","52","18031","12.1","13.3"
"Chatham","2021-02-10","429","180905","59","18090","12.2","12.9"
"Chatham","2021-02-11","698","181603","98","18188","12.3","13.1"
"Chatham","2021-02-12","909","182512","107","18295","12.2","13"
"Chatham","2021-02-13","809","183321","99","18394","12.1","12.7"
"Chatham","2021-02-14","383","183704","36","18430","11.8","12.5"
"Chatham","2021-02-15","443","184147","50","18480","11.8","12.5"
"Chattahoochee","2020-02-01","0","0","0","0",".","."
"Chattahoochee","2020-02-02","0","0","0","0",".","."
"Chattahoochee","2020-02-03","0","0","0","0",".","."
"Chattahoochee","2020-02-04","0","0","0","0",".","."
"Chattahoochee","2020-02-05","0","0","0","0",".","."
"Chattahoochee","2020-02-06","0","0","0","0",".","."
"Chattahoochee","2020-02-07","0","0","0","0","0","."
"Chattahoochee","2020-02-08","0","0","0","0","0","."
"Chattahoochee","2020-02-09","0","0","0","0","0","."
"Chattahoochee","2020-02-10","0","0","0","0","0","."
"Chattahoochee","2020-02-11","0","0","0","0","0","."
"Chattahoochee","2020-02-12","0","0","0","0","0","."
"Chattahoochee","2020-02-13","0","0","0","0","0","."
"Chattahoochee","2020-02-14","0","0","0","0","0","0"
"Chattahoochee","2020-02-15","0","0","0","0","0","0"
"Chattahoochee","2020-02-16","0","0","0","0","0","0"
"Chattahoochee","2020-02-17","0","0","0","0","0","0"
"Chattahoochee","2020-02-18","0","0","0","0","0","0"
"Chattahoochee","2020-02-19","0","0","0","0","0","0"
"Chattahoochee","2020-02-20","0","0","0","0","0","0"
"Chattahoochee","2020-02-21","0","0","0","0","0","0"
"Chattahoochee","2020-02-22","0","0","0","0","0","0"
"Chattahoochee","2020-02-23","0","0","0","0","0","0"
"Chattahoochee","2020-02-24","0","0","0","0","0","0"
"Chattahoochee","2020-02-25","0","0","0","0","0","0"
"Chattahoochee","2020-02-26","0","0","0","0","0","0"
"Chattahoochee","2020-02-27","0","0","0","0","0","0"
"Chattahoochee","2020-02-28","0","0","0","0","0","0"
"Chattahoochee","2020-02-29","0","0","0","0","0","0"
"Chattahoochee","2020-03-01","0","0","0","0","0","0"
"Chattahoochee","2020-03-02","0","0","0","0","0","0"
"Chattahoochee","2020-03-03","0","0","0","0","0","0"
"Chattahoochee","2020-03-04","0","0","0","0","0","0"
"Chattahoochee","2020-03-05","0","0","0","0","0","0"
"Chattahoochee","2020-03-06","0","0","0","0","0","0"
"Chattahoochee","2020-03-07","0","0","0","0","0","0"
"Chattahoochee","2020-03-08","0","0","0","0","0","0"
"Chattahoochee","2020-03-09","0","0","0","0","0","0"
"Chattahoochee","2020-03-10","0","0","0","0","0","0"
"Chattahoochee","2020-03-11","0","0","0","0","0","0"
"Chattahoochee","2020-03-12","0","0","0","0","0","0"
"Chattahoochee","2020-03-13","0","0","0","0","0","0"
"Chattahoochee","2020-03-14","0","0","0","0","0","0"
"Chattahoochee","2020-03-15","0","0","0","0","0","0"
"Chattahoochee","2020-03-16","1","1","0","0","0","0"
"Chattahoochee","2020-03-17","0","1","0","0","0","0"
"Chattahoochee","2020-03-18","0","1","0","0","0","0"
"Chattahoochee","2020-03-19","2","3","0","0","0","0"
"Chattahoochee","2020-03-20","0","3","0","0","0","0"
"Chattahoochee","2020-03-21","0","3","0","0","0","0"
"Chattahoochee","2020-03-22","0","3","0","0","0","0"
"Chattahoochee","2020-03-23","0","3","0","0","0","0"
"Chattahoochee","2020-03-24","0","3","0","0","0","0"
"Chattahoochee","2020-03-25","0","3","0","0","0","0"
"Chattahoochee","2020-03-26","1","4","0","0","0","0"
"Chattahoochee","2020-03-27","3","7","1","1","4.8","2.4"
"Chattahoochee","2020-03-28","1","8","0","1","4.8","2.4"
"Chattahoochee","2020-03-29","0","8","0","1","4.8","2.4"
"Chattahoochee","2020-03-30","0","8","0","1","4.8","2.4"
"Chattahoochee","2020-03-31","2","10","0","1","4.8","2.4"
"Chattahoochee","2020-04-01","1","11","1","2","19","9.5"
"Chattahoochee","2020-04-02","2","13","0","2","19","9.5"
"Chattahoochee","2020-04-03","7","20","0","2","14.3","9.5"
"Chattahoochee","2020-04-04","0","20","0","2","14.3","9.5"
"Chattahoochee","2020-04-05","3","23","1","3","19","11.9"
"Chattahoochee","2020-04-06","15","38","0","3","19","11.9"
"Chattahoochee","2020-04-07","1","39","1","4","33.3","19"
"Chattahoochee","2020-04-08","2","41","1","5","26.2","22.6"
"Chattahoochee","2020-04-09","1","42","0","5","26.2","22.6"
"Chattahoochee","2020-04-10","7","49","0","5","26.2","20.2"
"Chattahoochee","2020-04-11","2","51","0","5","26.2","20.2"
"Chattahoochee","2020-04-12","2","53","1","6","28.6","23.8"
"Chattahoochee","2020-04-13","0","53","0","6","28.6","23.8"
"Chattahoochee","2020-04-14","1","54","0","6","14.3","23.8"
"Chattahoochee","2020-04-15","2","56","0","6","7.1","16.7"
"Chattahoochee","2020-04-16","4","60","0","6","7.1","16.7"
"Chattahoochee","2020-04-17","0","60","0","6","7.1","16.7"
"Chattahoochee","2020-04-18","1","61","0","6","7.1","16.7"
"Chattahoochee","2020-04-19","3","64","1","7","4.8","16.7"
"Chattahoochee","2020-04-20","2","66","1","8","11.9","20.2"
"Chattahoochee","2020-04-21","1","67","0","8","11.9","13.1"
"Chattahoochee","2020-04-22","0","67","0","8","11.9","9.5"
"Chattahoochee","2020-04-23","2","69","2","10","26.2","16.7"
"Chattahoochee","2020-04-24","1","70","0","10","26.2","16.7"
"Chattahoochee","2020-04-25","3","73","0","10","26.2","16.7"
"Chattahoochee","2020-04-26","0","73","0","10","21.4","13.1"
"Chattahoochee","2020-04-27","0","73","0","10","14.3","13.1"
"Chattahoochee","2020-04-28","0","73","0","10","14.3","13.1"
"Chattahoochee","2020-04-29","4","77","1","11","17.9","14.9"
"Chattahoochee","2020-04-30","1","78","0","11","3.6","14.9"
"Chattahoochee","2020-05-01","3","81","0","11","3.6","14.9"
"Chattahoochee","2020-05-02","0","81","0","11","3.6","14.9"
"Chattahoochee","2020-05-03","0","81","0","11","3.6","12.5"
"Chattahoochee","2020-05-04","11","92","1","12","4.9","9.6"
"Chattahoochee","2020-05-05","0","92","0","12","4.9","9.6"
"Chattahoochee","2020-05-06","2","94","0","12","1.3","9.6"
"Chattahoochee","2020-05-07","3","97","0","12","1.3","2.4"
"Chattahoochee","2020-05-08","4","101","0","12","1.3","2.4"
"Chattahoochee","2020-05-09","0","101","0","12","1.3","2.4"
"Chattahoochee","2020-05-10","1","102","0","12","1.3","2.4"
"Chattahoochee","2020-05-11","2","104","0","12","0","2.4"
"Chattahoochee","2020-05-12","3","107","0","12","0","2.4"
"Chattahoochee","2020-05-13","5","112","0","12","0","0.6"
"Chattahoochee","2020-05-14","3","115","1","13","4.8","3"
"Chattahoochee","2020-05-15","5","120","2","15","10.5","5.9"
"Chattahoochee","2020-05-16","3","123","2","17","20","10.6"
"Chattahoochee","2020-05-17","1","124","0","17","20","10.6"
"Chattahoochee","2020-05-18","1","125","0","17","20","10"
"Chattahoochee","2020-05-19","0","125","0","17","20","10"
"Chattahoochee","2020-05-20","6","131","0","17","20","10"
"Chattahoochee","2020-05-21","0","131","0","17","15.2","10"
"Chattahoochee","2020-05-22","1","132","0","17","9.5","10"
"Chattahoochee","2020-05-23","7","139","0","17","0","10"
"Chattahoochee","2020-05-24","14","153","0","17","0","10"
"Chattahoochee","2020-05-25","0","153","0","17","0","10"
"Chattahoochee","2020-05-26","2","155","1","18","7.1","13.6"
"Chattahoochee","2020-05-27","2","157","2","20","21.4","20.7"
"Chattahoochee","2020-05-28","2","159","1","21","28.6","21.9"
"Chattahoochee","2020-05-29","4","163","0","21","28.6","19"
"Chattahoochee","2020-05-30","3","166","1","22","33.3","16.7"
"Chattahoochee","2020-05-31","3","169","1","23","38.1","19"
"Chattahoochee","2020-06-01","0","169","0","23","38.1","19"
"Chattahoochee","2020-06-02","2","171","1","24","38.1","22.6"
"Chattahoochee","2020-06-03","7","178","0","24","23.8","22.6"
"Chattahoochee","2020-06-04","2","180","0","24","16.7","22.6"
"Chattahoochee","2020-06-05","5","185","0","24","16.7","22.6"
"Chattahoochee","2020-06-06","5","190","0","24","11.9","22.6"
"Chattahoochee","2020-06-07","10","200","0","24","7.1","22.6"
"Chattahoochee","2020-06-08","3","203","0","24","7.1","22.6"
"Chattahoochee","2020-06-09","6","209","1","25","2.4","20.2"
"Chattahoochee","2020-06-10","5","214","1","26","5.2","14.5"
"Chattahoochee","2020-06-11","2","216","0","26","5.2","11"
"Chattahoochee","2020-06-12","2","218","0","26","5.2","11"
"Chattahoochee","2020-06-13","6","224","0","26","5.2","8.6"
"Chattahoochee","2020-06-14","5","229","0","26","5.2","6.2"
"Chattahoochee","2020-06-15","4","233","0","26","5.2","6.2"
"Chattahoochee","2020-06-16","2","235","0","26","2.9","2.6"
"Chattahoochee","2020-06-17","3","238","0","26","0","2.6"
"Chattahoochee","2020-06-18","10","248","2","28","2.9","4"
"Chattahoochee","2020-06-19","1","249","0","28","2.9","4"
"Chattahoochee","2020-06-20","17","266","0","28","2.9","4"
"Chattahoochee","2020-06-21","1","267","0","28","2.9","4"
"Chattahoochee","2020-06-22","7","274","2","30","6.9","6.1"
"Chattahoochee","2020-06-23","17","291","0","30","6.9","4.9"
"Chattahoochee","2020-06-24","2","293","1","31","14.1","7"
"Chattahoochee","2020-06-25","1","294","0","31","11.2","7"
"Chattahoochee","2020-06-26","1","295","0","31","11.2","7"
"Chattahoochee","2020-06-27","1","296","0","31","11.2","7"
"Chattahoochee","2020-06-28","10","306","3","34","15.5","9.2"
"Chattahoochee","2020-06-29","7","313","0","34","11.4","9.2"
"Chattahoochee","2020-06-30","3","316","1","35","16.2","11.6"
"Chattahoochee","2020-07-01","21","337","3","38","11.1","12.6"
"Chattahoochee","2020-07-02","13","350","0","38","11.1","11.2"
"Chattahoochee","2020-07-03","14","364","4","42","15.2","13.2"
"Chattahoochee","2020-07-04","11","375","2","44","17.8","14.5"
"Chattahoochee","2020-07-05","8","383","4","48","20.6","18.1"
"Chattahoochee","2020-07-06","9","392","0","48","20.6","16"
"Chattahoochee","2020-07-07","7","399","0","48","15.9","16"
"Chattahoochee","2020-07-08","24","423","4","52","16.2","13.6"
"Chattahoochee","2020-07-09","13","436","3","55","19.5","15.3"
"Chattahoochee","2020-07-10","56","492","5","60","16.7","15.9"
"Chattahoochee","2020-07-11","6","498","1","61","16.5","17.1"
"Chattahoochee","2020-07-12","11","509","5","66","15.8","18.2"
"Chattahoochee","2020-07-13","111","620","4","70","16.3","18.5"
"Chattahoochee","2020-07-14","29","649","2","72","17.3","16.6"
"Chattahoochee","2020-07-15","418","1067","3","75","15","15.6"
"Chattahoochee","2020-07-16","450","1517","9","84","12","15.8"
"Chattahoochee","2020-07-17","62","1579","9","93","12.8","14.8"
"Chattahoochee","2020-07-18","195","1774","10","103","11.2","13.8"
"Chattahoochee","2020-07-19","428","2202","13","116","5.1","10.5"
"Chattahoochee","2020-07-20","471","2673","11","127","4.9","10.6"
"Chattahoochee","2020-07-21","273","2946","4","131","4.2","10.7"
"Chattahoochee","2020-07-22","135","3081","7","138","4.8","9.9"
"Chattahoochee","2020-07-23","458","3539","11","149","4.9","8.5"
"Chattahoochee","2020-07-24","173","3712","6","155","3.3","8.1"
"Chattahoochee","2020-07-25","118","3830","3","158","2.9","7.1"
"Chattahoochee","2020-07-26","69","3899","1","159","2.7","3.9"
"Chattahoochee","2020-07-27","68","3967","3","162","3","4"
"Chattahoochee","2020-07-28","8","3975","0","162","2.8","3.5"
"Chattahoochee","2020-07-29","25","4000","1","163","2.6","3.7"
"Chattahoochee","2020-07-30","28","4028","8","171","6.3","5.6"
"Chattahoochee","2020-07-31","12","4040","0","171","5.9","4.6"
"Chattahoochee","2020-08-01","25","4065","0","171","5.5","4.2"
"Chattahoochee","2020-08-02","15","4080","2","173","7.2","4.9"
"Chattahoochee","2020-08-03","66","4146","26","199","12.2","7.6"
"Chattahoochee","2020-08-04","0","4146","0","199","12.2","7.5"
"Chattahoochee","2020-08-05","24","4170","10","209","17.6","10.1"
"Chattahoochee","2020-08-06","10","4180","2","211","16.3","11.3"
"Chattahoochee","2020-08-07","29","4209","7","218","19.8","12.8"
"Chattahoochee","2020-08-08","65","4274","15","233","23.1","14.3"
"Chattahoochee","2020-08-09","13","4287","0","233","21.2","14.2"
"Chattahoochee","2020-08-10","7","4294","0","233","15.6","13.9"
"Chattahoochee","2020-08-11","4","4298","0","233","15.6","13.9"
"Chattahoochee","2020-08-12","10","4308","2","235","12.5","15"
"Chattahoochee","2020-08-13","20","4328","1","236","10.3","13.3"
"Chattahoochee","2020-08-14","66","4394","5","241","8","13.9"
"Chattahoochee","2020-08-15","7","4401","3","244","10.8","16.9"
"Chattahoochee","2020-08-16","54","4455","4","248","11.8","16.5"
"Chattahoochee","2020-08-17","7","4462","0","248","11.8","13.7"
"Chattahoochee","2020-08-18","5","4467","0","248","11.8","13.7"
"Chattahoochee","2020-08-19","6","4473","0","248","9","10.7"
"Chattahoochee","2020-08-20","33","4506","0","248","8.3","9.3"
"Chattahoochee","2020-08-21","14","4520","2","250","9.2","8.6"
"Chattahoochee","2020-08-22","11","4531","1","251","4.4","7.6"
"Chattahoochee","2020-08-23","19","4550","1","252","4.1","8"
"Chattahoochee","2020-08-24","7","4557","0","252","4.1","8"
"Chattahoochee","2020-08-25","3","4560","0","252","4.1","8"
"Chattahoochee","2020-08-26","7","4567","2","254","8.2","8.6"
"Chattahoochee","2020-08-27","9","4576","2","256","11.3","9.8"
"Chattahoochee","2020-08-28","19","4595","1","257","10.1","9.6"
"Chattahoochee","2020-08-29","6","4601","0","257","8.8","6.6"
"Chattahoochee","2020-08-30","10","4611","0","257","8","6"
"Chattahoochee","2020-08-31","4","4615","0","257","8","6"
"Chattahoochee","2020-09-01","18","4633","1","258","8.8","6.4"
"Chattahoochee","2020-09-02","6","4639","0","258","4.7","6.4"
"Chattahoochee","2020-09-03","13","4652","3","261","4.8","8.1"
"Chattahoochee","2020-09-04","17","4669","1","262","4.9","7.5"
"Chattahoochee","2020-09-05","17","4686","3","265","7.5","8.1"
"Chattahoochee","2020-09-06","15","4701","4","269","11.3","9.6"
"Chattahoochee","2020-09-07","0","4701","0","269","11.3","9.6"
"Chattahoochee","2020-09-08","9","4710","0","269","10.5","9.6"
"Chattahoochee","2020-09-09","1","4711","0","269","10.5","7.6"
"Chattahoochee","2020-09-10","2","4713","0","269","7.2","6"
"Chattahoochee","2020-09-11","24","4737","0","269","6.3","5.6"
"Chattahoochee","2020-09-12","13","4750","1","270","4.9","6.2"
"Chattahoochee","2020-09-13","7","4757","0","270","1.1","6.2"
"Chattahoochee","2020-09-14","6","4763","0","270","1.1","6.2"
"Chattahoochee","2020-09-15","5","4768","0","270","1.1","5.8"
"Chattahoochee","2020-09-16","5","4773","0","270","1.1","5.8"
"Chattahoochee","2020-09-17","3","4776","0","270","1.1","4.1"
"Chattahoochee","2020-09-18","14","4790","1","271","2.1","4.2"
"Chattahoochee","2020-09-19","4","4794","0","271","1","3"
"Chattahoochee","2020-09-20","4","4798","0","271","1","1.1"
"Chattahoochee","2020-09-21","0","4798","0","271","1","1.1"
"Chattahoochee","2020-09-22","5","4803","0","271","1","1.1"
"Chattahoochee","2020-09-23","1","4804","0","271","1","1.1"
"Chattahoochee","2020-09-24","2","4806","1","272","8.2","4.6"
"Chattahoochee","2020-09-25","8","4814","2","274","10.7","6.4"
"Chattahoochee","2020-09-26","8","4822","1","275","12.5","6.8"
"Chattahoochee","2020-09-27","6","4828","0","275","12.5","6.8"
"Chattahoochee","2020-09-28","6","4834","0","275","12.5","6.8"
"Chattahoochee","2020-09-29","0","4834","0","275","12.5","6.8"
"Chattahoochee","2020-09-30","3","4837","0","275","12.5","6.8"
"Chattahoochee","2020-10-01","6","4843","0","275","5.4","6.8"
"Chattahoochee","2020-10-02","1","4844","0","275","1.8","6.3"
"Chattahoochee","2020-10-03","19","4863","2","277","1.5","7"
"Chattahoochee","2020-10-04","7","4870","0","277","1.5","7"
"Chattahoochee","2020-10-05","1","4871","0","277","1.5","7"
"Chattahoochee","2020-10-06","2","4873","0","277","1.5","7"
"Chattahoochee","2020-10-07","3","4876","0","277","1.5","7"
"Chattahoochee","2020-10-08","5","4881","0","277","1.5","3.4"
"Chattahoochee","2020-10-09","12","4893","0","277","1.5","1.6"
"Chattahoochee","2020-10-10","4","4897","0","277","0","0.8"
"Chattahoochee","2020-10-11","4","4901","0","277","0","0.8"
"Chattahoochee","2020-10-12","5","4906","0","277","0","0.8"
"Chattahoochee","2020-10-13","2","4908","0","277","0","0.8"
"Chattahoochee","2020-10-14","8","4916","2","279","3.6","2.5"
"Chattahoochee","2020-10-15","5","4921","0","279","3.6","2.5"
"Chattahoochee","2020-10-16","6","4927","0","279","3.6","2.5"
"Chattahoochee","2020-10-17","1","4928","0","279","3.6","1.8"
"Chattahoochee","2020-10-18","9","4937","0","279","3.6","1.8"
"Chattahoochee","2020-10-19","2","4939","0","279","3.6","1.8"
"Chattahoochee","2020-10-20","4","4943","0","279","3.6","1.8"
"Chattahoochee","2020-10-21","1","4944","0","279","0","1.8"
"Chattahoochee","2020-10-22","5","4949","0","279","0","1.8"
"Chattahoochee","2020-10-23","13","4962","0","279","0","1.8"
"Chattahoochee","2020-10-24","2","4964","0","279","0","1.8"
"Chattahoochee","2020-10-25","4","4968","0","279","0","1.8"
"Chattahoochee","2020-10-26","1","4969","0","279","0","1.8"
"Chattahoochee","2020-10-27","5","4974","0","279","0","1.8"
"Chattahoochee","2020-10-28","1","4975","0","279","0","0"
"Chattahoochee","2020-10-29","3","4978","0","279","0","0"
"Chattahoochee","2020-10-30","16","4994","1","280","0.9","0.4"
"Chattahoochee","2020-10-31","2","4996","0","280","0.9","0.4"
"Chattahoochee","2020-11-01","12","5008","0","280","0.9","0.4"
"Chattahoochee","2020-11-02","9","5017","0","280","0.9","0.4"
"Chattahoochee","2020-11-03","0","5017","0","280","0.9","0.4"
"Chattahoochee","2020-11-04","2","5019","0","280","0.9","0.4"
"Chattahoochee","2020-11-05","6","5025","2","282","5.7","2.8"
"Chattahoochee","2020-11-06","5","5030","0","282","4.8","2.8"
"Chattahoochee","2020-11-07","6","5036","0","282","4.8","2.8"
"Chattahoochee","2020-11-08","7","5043","0","282","4.8","2.8"
"Chattahoochee","2020-11-09","6","5049","0","282","4.8","2.8"
"Chattahoochee","2020-11-10","4","5053","0","282","4.8","2.8"
"Chattahoochee","2020-11-11","1","5054","0","282","4.8","2.8"
"Chattahoochee","2020-11-12","7","5061","0","282","0","2.8"
"Chattahoochee","2020-11-13","8","5069","0","282","0","2.4"
"Chattahoochee","2020-11-14","2","5071","0","282","0","2.4"
"Chattahoochee","2020-11-15","11","5082","1","283","1.3","3"
"Chattahoochee","2020-11-16","3","5085","0","283","1.3","3"
"Chattahoochee","2020-11-17","6","5091","0","283","1.3","3"
"Chattahoochee","2020-11-18","0","5091","0","283","1.3","3"
"Chattahoochee","2020-11-19","4","5095","0","283","1.3","0.6"
"Chattahoochee","2020-11-20","14","5109","0","283","1.3","0.6"
"Chattahoochee","2020-11-21","5","5114","0","283","1.3","0.6"
"Chattahoochee","2020-11-22","8","5122","1","284","1.8","1.5"
"Chattahoochee","2020-11-23","6","5128","0","284","1.8","1.5"
"Chattahoochee","2020-11-24","4","5132","0","284","1.8","1.5"
"Chattahoochee","2020-11-25","3","5135","0","284","1.8","1.5"
"Chattahoochee","2020-11-26","9","5144","0","284","1.8","1.5"
"Chattahoochee","2020-11-27","8","5152","0","284","1.8","1.5"
"Chattahoochee","2020-11-28","6","5158","0","284","1.8","1.5"
"Chattahoochee","2020-11-29","0","5158","0","284","0","0.9"
"Chattahoochee","2020-11-30","1","5159","0","284","0","0.9"
"Chattahoochee","2020-12-01","0","5159","0","284","0","0.9"
"Chattahoochee","2020-12-02","8","5167","0","284","0","0.9"
"Chattahoochee","2020-12-03","8","5175","2","286","3.6","2.7"
"Chattahoochee","2020-12-04","6","5181","0","286","3.6","2.7"
"Chattahoochee","2020-12-05","7","5188","0","286","3.6","2.7"
"Chattahoochee","2020-12-06","0","5188","0","286","3.6","1.8"
"Chattahoochee","2020-12-07","11","5199","1","287","4.9","2.4"
"Chattahoochee","2020-12-08","1","5200","0","287","4.9","2.4"
