"","NAME","source_type","ADM_scale","Website","announcement_board","announcement_type","announcement_date","start_date","end_date","announcement_link","access_date","who_by","gathering_size"
"49","South Dakota","government","ADM1","https://doh.sd.gov/news/Coronavirus.aspx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Tennessee","government","ADM1","https://www.tn.gov/education/health-and-safety/update-on-coronavirus.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Texas","government","ADM1","https://dshs.texas.gov/coronavirus/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Utah","government","ADM1","https://coronavirus.utah.gov/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Vermont","government","ADM1","https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Virginia","government","ADM1","https://www.virginia.gov/coronavirus-updates/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Washington","government","ADM1","https://www.doh.wa.gov/Emergencies/Coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","West Virginia","government","ADM1","https://dhhr.wv.gov/COVID-19/Pages/default.aspx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Wisconsin","government","ADM1","https://www.dhs.wisconsin.gov/covid-19/index.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Wyoming","government","ADM1","None",NA,NA,NA,NA,NA,NA,NA,NA,NA
